 # x   exact   pade   cds
    0.000000    5.000000    5.925157    4.096799
    0.214286    2.394353    2.115139    1.961837
    0.428571   -2.706830   -2.614692   -2.217867
    0.642857   -4.986795   -4.963573   -4.085979
    0.857143   -2.069230   -2.046891   -1.695444
    1.071429    3.005009    2.978477    2.462183
    1.285714    4.947250    4.906085    4.053578
    1.500000    1.733177    1.718651    1.420095
    1.714286   -3.287316   -3.260117   -2.693494
    1.928571   -4.881574   -4.839149   -3.999766
    2.142857   -1.387969   -1.381881   -1.137246
    2.357143    3.552259    3.543198    2.910578
    2.571429    4.790114    4.672559    3.924827
    2.785714    1.035430    1.315525    0.848390
    3.000000   -3.798440   -4.844318   -1.530829
